LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
0,1,,,,1,,23.2,False,36.7,47.9,5,raikkonen,1:15.737,grosjean,1:16.540,7.0,15
01:10.661,2,SUPERSOFT,4.0,False,2,1.0,22.7,False,37.4,47.4,5,raikkonen,1:10.489,grosjean,1:11.320,7.0,15
01:10.348,3,SUPERSOFT,5.0,False,1,1.0,22.7,False,37.4,47.4,5,raikkonen,1:09.891,vettel,1:10.885,7.0,15
01:09.946,4,SUPERSOFT,6.0,False,1,1.0,22.8,False,37.6,47.3,5,raikkonen,1:09.837,vettel,1:10.226,7.0,15
01:09.758,5,SUPERSOFT,7.0,False,1,1.0,22.9,False,36.9,46.9,5,raikkonen,1:09.969,vettel,1:09.713,7.0,15
01:09.594,6,SUPERSOFT,8.0,False,1,1.0,23.2,False,36.6,46.9,5,raikkonen,1:09.848,vettel,1:09.781,7.0,15
01:09.896,7,SUPERSOFT,9.0,False,1,1.0,23.5,False,37.1,47.1,5,raikkonen,1:09.928,vettel,1:09.285,7.0,15
01:09.683,8,SUPERSOFT,10.0,False,1,1.0,23.6,False,37.7,47.2,5,raikkonen,1:09.890,vettel,1:09.816,7.0,15
01:09.628,9,SUPERSOFT,11.0,False,1,1.0,23.8,False,36.2,47.2,5,raikkonen,1:09.465,vettel,1:09.264,7.0,15
01:09.719,10,SUPERSOFT,12.0,False,1,1.0,23.6,False,36.3,47.2,5,raikkonen,1:09.582,vettel,1:09.375,7.0,15
01:09.387,11,SUPERSOFT,13.0,False,1,1.0,23.5,False,36.7,47.0,5,raikkonen,1:09.438,vettel,1:09.664,7.0,15
01:09.365,12,SUPERSOFT,14.0,False,2,1.0,23.1,False,37.4,46.9,5,raikkonen,1:08.954,vettel,1:09.329,7.0,15
01:09.882,13,SUPERSOFT,15.0,False,2,1.0,22.8,False,37.0,46.9,5,raikkonen,1:09.874,vettel,1:10.303,7.0,15
01:09.135,14,SUPERSOFT,16.0,False,2,1.0,23.0,False,37.2,46.4,4,raikkonen,1:09.238,vettel,1:09.232,7.0,15
01:28.735,15,SUPERSOFT,17.0,False,26,1.0,22.8,False,37.7,46.6,4,raikkonen,1:28.350,vettel,1:29.122,7.0,15
01:33.130,16,SOFT,1.0,True,67,2.0,22.5,False,38.5,46.6,4,raikkonen,1:33.640,vettel,1:36.112,7.0,38
01:08.228,17,SOFT,2.0,True,1,2.0,22.2,False,39.4,46.7,4,raikkonen,1:08.274,vettel,1:08.321,7.0,38
01:08.319,18,SOFT,3.0,True,1,2.0,22.2,False,39.4,46.7,4,raikkonen,1:08.409,vettel,1:08.743,7.0,38
01:08.558,19,SOFT,4.0,True,1,2.0,22.6,False,39.5,46.7,4,raikkonen,1:08.465,vettel,1:08.495,7.0,38
01:08.201,20,SOFT,5.0,True,1,2.0,22.9,False,38.0,46.7,3,max_verstappen,1:09.037,raikkonen,1:10.439,7.0,38
01:08.580,21,SOFT,6.0,True,1,2.0,23.0,False,37.9,46.6,3,max_verstappen,1:08.445,raikkonen,1:08.859,7.0,38
01:08.656,22,SOFT,7.0,True,1,2.0,23.1,False,38.3,46.4,3,max_verstappen,1:08.557,raikkonen,1:08.784,7.0,38
01:08.808,23,SOFT,8.0,True,1,2.0,22.7,False,38.5,44.6,3,max_verstappen,1:08.451,raikkonen,1:08.779,7.0,38
01:08.696,24,SOFT,9.0,True,1,2.0,22.8,False,38.3,44.2,3,max_verstappen,1:08.429,raikkonen,1:08.548,7.0,38
01:08.525,25,SOFT,10.0,True,1,2.0,22.8,False,38.4,45.1,3,max_verstappen,1:08.365,raikkonen,1:08.581,7.0,38
01:08.585,26,SOFT,11.0,True,1,2.0,23.1,False,38.3,45.2,2,max_verstappen,1:08.509,raikkonen,1:08.607,7.0,38
01:08.389,27,SOFT,12.0,True,1,2.0,23.0,False,37.4,45.2,2,max_verstappen,1:08.351,raikkonen,1:08.582,7.0,38
01:08.745,28,SOFT,13.0,True,1,2.0,22.6,False,38.7,45.4,2,max_verstappen,1:08.461,raikkonen,1:08.501,7.0,38
01:08.886,29,SOFT,14.0,True,1,2.0,22.8,False,38.1,45.5,2,max_verstappen,1:08.784,raikkonen,1:08.496,7.0,38
01:08.676,30,SOFT,15.0,True,1,2.0,22.7,False,38.2,45.5,2,max_verstappen,1:08.376,raikkonen,1:08.440,7.0,38
01:08.681,31,SOFT,16.0,True,1,2.0,22.4,False,39.5,45.7,2,max_verstappen,1:08.302,raikkonen,1:08.694,7.0,38
01:08.592,32,SOFT,17.0,True,1,2.0,22.9,False,38.4,46.1,2,max_verstappen,1:08.417,raikkonen,1:08.591,7.0,38
01:08.710,33,SOFT,18.0,True,1,2.0,23.3,False,37.6,46.1,2,max_verstappen,1:08.475,raikkonen,1:08.734,7.0,38
01:08.735,34,SOFT,19.0,True,1,2.0,23.4,False,37.3,45.7,2,max_verstappen,1:08.689,raikkonen,1:08.852,7.0,38
01:08.816,35,SOFT,20.0,True,1,2.0,23.4,False,36.4,45.7,2,max_verstappen,1:08.594,raikkonen,1:08.884,7.0,38
01:08.809,36,SOFT,21.0,True,1,2.0,22.9,False,37.7,45.7,2,max_verstappen,1:08.428,raikkonen,1:08.689,7.0,38
01:09.178,37,SOFT,22.0,True,1,2.0,22.9,False,37.7,45.6,2,max_verstappen,1:08.912,raikkonen,1:08.801,7.0,38
01:14.630,38,SOFT,23.0,True,1,2.0,23.2,False,37.0,45.7,5,vettel,1:09.249,grosjean,1:09.630,7.0,53
01:26.081,39,SUPERSOFT,19.0,False,1,3.0,23.1,False,36.6,45.9,5,hamilton,1:09.875,grosjean,1:09.462,7.0,53
01:08.855,40,SUPERSOFT,20.0,False,1,3.0,23.4,False,36.9,46.0,5,hamilton,1:08.648,grosjean,1:09.249,7.0,53
01:08.628,41,SUPERSOFT,21.0,False,1,3.0,23.7,False,34.7,46.0,5,hamilton,1:08.660,grosjean,1:09.600,7.0,53
01:08.484,42,SUPERSOFT,22.0,False,1,3.0,23.5,False,35.0,45.2,5,hamilton,1:08.410,grosjean,1:09.255,7.0,53
01:08.435,43,SUPERSOFT,23.0,False,1,3.0,23.1,False,35.8,45.0,5,hamilton,1:08.469,grosjean,1:10.091,7.0,53
01:08.147,44,SUPERSOFT,24.0,False,1,3.0,22.9,False,36.1,45.4,5,hamilton,1:08.236,grosjean,1:09.189,7.0,53
01:08.027,45,SUPERSOFT,25.0,False,1,3.0,22.5,False,36.8,45.5,5,hamilton,1:08.456,grosjean,1:09.487,7.0,53
01:07.591,46,SUPERSOFT,26.0,False,1,3.0,22.7,False,36.5,45.0,5,hamilton,1:07.923,grosjean,1:09.250,7.0,53
01:08.689,47,SUPERSOFT,27.0,False,1,3.0,22.7,False,36.6,45.1,5,hamilton,1:07.977,grosjean,1:09.399,7.0,53
01:08.490,48,SUPERSOFT,28.0,False,1,3.0,22.7,False,37.3,45.2,5,hamilton,1:08.478,grosjean,1:09.274,7.0,53
01:07.835,49,SUPERSOFT,29.0,False,1,3.0,23.0,False,35.7,45.2,5,hamilton,1:08.854,grosjean,1:09.298,7.0,53
01:08.806,50,SUPERSOFT,30.0,False,1,3.0,23.3,False,35.5,44.9,5,hamilton,1:08.372,grosjean,1:09.129,7.0,53
01:08.719,51,SUPERSOFT,31.0,False,1,3.0,23.4,False,36.1,44.8,5,hamilton,1:08.496,grosjean,1:09.337,7.0,53
01:08.358,52,SUPERSOFT,32.0,False,1,3.0,23.4,False,35.6,45.1,5,hamilton,1:11.638,grosjean,1:09.544,7.0,53
01:07.943,53,SUPERSOFT,33.0,False,1,3.0,23.1,False,36.1,45.2,4,vettel,1:07.782,hamilton,1:24.070,7.0,53
0,1,MEDIUM,1.0,True,1,1.0,33.8,False,19.1,51.4,14,stroll,1:19.306,grosjean,1:20.207,12.0,46
01:13.248,2,MEDIUM,2.0,True,1,1.0,33.6,False,20.3,51.0,14,stroll,1:13.084,grosjean,1:13.318,12.0,46
01:11.938,3,MEDIUM,3.0,True,1,1.0,33.9,False,19.4,51.3,14,stroll,1:11.958,sainz,1:11.838,12.0,46
01:11.696,4,MEDIUM,4.0,True,1,1.0,34.1,False,18.9,51.3,14,stroll,1:11.712,sainz,1:11.578,12.0,46
01:12.080,5,MEDIUM,5.0,True,1,1.0,34.6,False,18.8,51.4,14,stroll,1:12.038,sainz,1:11.903,12.0,46
01:12.369,6,MEDIUM,6.0,True,1,1.0,34.7,False,18.1,51.3,14,kevin_magnussen,1:12.767,sainz,1:12.295,12.0,46
01:10.829,7,MEDIUM,7.0,True,1,1.0,34.6,False,18.8,51.3,13,stroll,1:11.230,kevin_magnussen,1:12.831,12.0,46
01:11.168,8,MEDIUM,8.0,True,1,1.0,34.6,False,18.7,51.1,13,stroll,1:11.001,kevin_magnussen,1:13.069,12.0,46
01:11.221,9,MEDIUM,9.0,True,1,1.0,34.6,False,18.5,51.1,13,stroll,1:11.084,sainz,1:11.239,12.0,46
01:11.019,10,MEDIUM,10.0,True,1,1.0,34.9,False,18.1,51.1,13,stroll,1:10.991,sainz,1:10.912,12.0,46
01:10.994,11,MEDIUM,11.0,True,1,1.0,35.0,False,18.4,51.0,13,stroll,1:10.596,sainz,1:10.720,12.0,46
01:11.003,12,MEDIUM,12.0,True,1,1.0,35.0,False,17.1,50.9,13,stroll,1:10.914,sainz,1:10.580,12.0,46
01:10.675,13,MEDIUM,13.0,True,1,1.0,35.1,False,17.8,50.8,13,stroll,1:10.682,sainz,1:10.437,12.0,46
01:10.837,14,MEDIUM,14.0,True,1,1.0,35.3,False,17.9,50.8,13,stroll,1:10.957,sainz,1:10.666,12.0,46
01:10.713,15,MEDIUM,15.0,True,1,1.0,35.2,False,17.3,50.8,13,stroll,1:10.777,sainz,1:10.408,12.0,46
01:10.409,16,MEDIUM,16.0,True,1,1.0,34.5,False,17.8,50.7,13,stroll,1:10.661,sainz,1:10.218,12.0,46
01:10.668,17,MEDIUM,17.0,True,1,1.0,34.7,False,18.1,50.7,13,stroll,1:10.743,sainz,1:10.384,12.0,46
01:10.560,18,MEDIUM,18.0,True,1,1.0,34.7,False,17.1,50.8,13,stroll,1:10.584,sainz,1:10.174,12.0,46
01:10.613,19,MEDIUM,19.0,True,1,1.0,34.8,False,17.5,50.8,13,stroll,1:10.751,sainz,1:10.146,12.0,46
01:10.494,20,MEDIUM,20.0,True,1,1.0,35.0,False,17.1,50.7,13,stroll,1:10.583,sainz,1:10.450,12.0,46
01:10.453,21,MEDIUM,21.0,True,1,1.0,35.0,False,16.7,50.7,13,stroll,1:10.380,sainz,1:10.206,12.0,46
01:10.620,22,MEDIUM,22.0,True,1,1.0,35.0,False,17.0,50.5,13,stroll,1:10.441,sainz,1:10.495,12.0,46
01:12.109,23,MEDIUM,23.0,True,1,1.0,34.9,False,16.9,50.5,14,sainz,1:10.113,albon,1:10.399,12.0,46
01:11.026,24,MEDIUM,24.0,True,1,1.0,34.9,False,17.1,50.5,13,sainz,1:10.604,albon,1:10.446,12.0,46
01:10.573,25,MEDIUM,25.0,True,1,1.0,34.9,False,16.9,51.0,11,sainz,1:10.570,stroll,1:14.253,12.0,46
01:10.435,26,MEDIUM,26.0,True,1,1.0,34.9,False,16.8,50.9,9,sainz,1:09.833,albon,1:10.557,12.0,46
01:10.373,27,MEDIUM,27.0,True,1,1.0,34.8,False,16.5,50.9,8,sainz,1:10.075,norris,1:09.593,12.0,46
01:10.222,28,MEDIUM,28.0,True,1,1.0,34.9,False,16.8,51.0,8,sainz,1:09.952,norris,1:10.006,12.0,46
01:10.270,29,MEDIUM,29.0,True,1,1.0,35.0,False,16.4,51.0,7,sainz,1:09.925,norris,1:09.941,12.0,46
01:10.107,30,MEDIUM,30.0,True,1,1.0,35.1,False,16.1,51.0,7,sainz,1:09.595,norris,1:09.926,12.0,46
01:10.023,31,MEDIUM,31.0,True,1,1.0,35.1,False,15.6,51.0,7,sainz,1:09.844,norris,1:09.907,12.0,46
01:10.021,32,MEDIUM,32.0,True,1,1.0,35.1,False,16.0,50.9,7,sainz,1:09.944,norris,1:09.569,12.0,46
01:10.245,33,MEDIUM,33.0,True,1,1.0,35.2,False,16.9,50.8,7,sainz,1:10.204,norris,1:09.836,12.0,46
01:10.217,34,MEDIUM,34.0,True,1,1.0,35.1,False,17.2,50.6,7,sainz,1:10.435,norris,1:09.823,12.0,46
01:10.281,35,MEDIUM,35.0,True,1,1.0,35.1,False,16.3,50.6,7,sainz,1:09.911,norris,1:09.824,12.0,46
01:10.716,36,MEDIUM,36.0,True,1,1.0,35.0,False,16.4,50.5,7,sainz,1:10.453,norris,1:09.888,12.0,46
01:10.137,37,MEDIUM,37.0,True,1,1.0,34.9,False,16.7,50.5,7,sainz,1:10.188,norris,1:10.109,12.0,46
01:10.615,38,MEDIUM,38.0,True,1,1.0,35.0,False,16.6,50.3,7,sainz,1:10.093,norris,1:10.768,12.0,46
01:10.182,39,MEDIUM,39.0,True,1,1.0,35.0,False,16.5,50.3,7,sainz,1:10.168,norris,1:10.289,12.0,46
01:10.111,40,MEDIUM,40.0,True,1,1.0,35.1,False,15.9,50.3,7,sainz,1:10.462,norris,1:09.838,12.0,46
01:11.241,41,MEDIUM,41.0,True,1,1.0,35.2,False,15.8,50.3,8,norris,1:09.509,gasly,1:10.169,12.0,46
01:10.382,42,MEDIUM,42.0,True,1,1.0,35.0,False,16.0,50.3,7,norris,1:10.594,gasly,1:10.367,12.0,46
01:10.229,43,MEDIUM,43.0,True,1,1.0,35.0,False,16.5,50.3,7,norris,1:09.619,gasly,1:10.026,12.0,46
01:12.222,44,MEDIUM,44.0,True,1,1.0,35.0,False,16.5,50.4,8,gasly,1:10.147,raikkonen,1:10.176,12.0,46
01:10.695,45,MEDIUM,45.0,True,1,1.0,35.1,False,15.9,50.3,8,gasly,1:09.665,raikkonen,1:10.416,12.0,46
01:14.095,46,MEDIUM,46.0,True,1,1.0,35.0,False,16.4,50.2,11,perez,1:09.764,hulkenberg,1:09.788,12.0,70
01:28.737,47,SOFT,4.0,False,1,2.0,35.1,False,15.9,50.2,14,stroll,1:09.762,albon,1:09.206,12.0,70
