,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,Laptime,compound_MEDIUM,compound_SOFT,makeStopPred
77,12.0,15.0,0,1,1.0,20.3,0,58.9,41.4,1.0,84.686,82.003,2.0,2019,27.0,81.998,0,1,0
288,25.0,3.0,1,1,3.0,37.0,0,6.0,49.4,17.0,88.008,91.835,6.0,2022,48.0,87.415,1,0,0
27,28.0,3.0,1,1,2.0,15.9,1,53.3,29.6,2.0,80.603,82.041,1.0,2018,66.0,80.711,1,0,0
267,4.0,5.0,0,1,2.0,37.0,0,6.0,49.5,19.0,90.425,87.693,6.0,2022,22.0,88.327,0,1,0
11,12.0,13.0,0,1,1.0,16.6,1,50.7,36.3,1.0,84.969,82.875,1.0,2018,25.0,81.81,0,1,0
105,40.0,13.0,1,1,2.0,20.3,0,52.6,40.3,1.0,84.869,81.836,2.0,2019,46.0,81.724,1,0,0
183,52.0,2.0,1,1,3.0,28.7,0,60.2,43.0,1.0,83.014,81.562,1.0,2020,66.0,80.274,1,0,0
193,62.0,12.0,1,1,3.0,30.1,0,56.8,47.2,1.0,93.951,81.486,1.0,2020,66.0,80.975,1,0,0
67,2.0,5.0,0,1,1.0,19.7,0,58.7,41.8,1.0,85.055,83.495,2.0,2019,27.0,83.657,0,1,0
121,56.0,13.0,0,1,3.0,19.9,0,49.8,39.2,1.0,84.012,80.027,2.0,2019,66.0,79.98,0,1,0
249,52.0,16.0,0,1,3.0,22.3,0,60.1,33.2,2.0,82.358,85.165,1.0,2021,66.0,82.67,1,0,0
79,14.0,17.0,0,1,1.0,20.2,0,57.4,40.9,1.0,85.162,81.979,2.0,2019,27.0,82.151,0,1,0
171,40.0,17.0,1,1,2.0,29.5,0,57.7,44.8,1.0,83.981,83.096,1.0,2020,50.0,82.213,1,0,0
180,49.0,26.0,1,1,2.0,29.1,0,58.7,45.5,1.0,89.352,81.732,1.0,2020,50.0,81.954,1,0,0
219,22.0,26.0,0,1,1.0,22.3,0,57.6,31.8,2.0,83.513,84.105,1.0,2021,28.0,83.323,0,1,0
88,23.0,26.0,0,1,1.0,21.1,0,54.7,41.1,1.0,86.406,82.797,2.0,2019,27.0,82.466,0,1,0
192,61.0,11.0,1,1,3.0,30.1,0,57.1,47.6,1.0,82.422,81.904,1.0,2020,66.0,81.397,1,0,0
139,8.0,11.0,0,1,1.0,30.0,0,55.3,48.3,1.0,86.021,84.192,1.0,2020,23.0,84.108,0,1,0
324,61.0,16.0,0,1,4.0,36.4,0,11.0,48.1,4.0,87.069,87.394,6.0,2022,66.0,86.425,0,1,0
246,49.0,13.0,0,1,3.0,22.5,0,58.8,32.7,3.0,82.245,82.411,1.0,2021,66.0,81.155,1,0,0
211,14.0,18.0,0,1,1.0,22.0,0,57.0,32.7,2.0,83.155,83.846,1.0,2021,28.0,83.18,0,1,0
184,53.0,3.0,1,1,3.0,28.8,0,59.9,42.9,1.0,82.937,81.477,1.0,2020,66.0,80.892,1,0,0
206,9.0,13.0,0,4,1.0,21.7,0,57.4,31.0,2.0,134.088,122.691,1.0,2021,28.0,131.611,0,1,0
113,48.0,5.0,0,4,3.0,20.3,0,51.3,39.8,1.0,109.668,126.263,2.0,2019,66.0,129.746,0,1,0
44,45.0,20.0,1,1,2.0,16.1,1,52.4,33.0,1.0,82.971,79.944,1.0,2018,66.0,80.425,1,0,0
123,58.0,15.0,0,1,3.0,19.9,0,50.3,39.2,1.0,83.092,79.966,2.0,2019,66.0,80.295,0,1,0
306,43.0,21.0,1,1,3.0,36.6,0,8.0,48.7,6.0,88.058,87.719,6.0,2022,48.0,88.239,1,0,0
35,36.0,11.0,1,1,2.0,15.8,1,53.6,30.3,1.0,83.554,80.083,1.0,2018,66.0,80.359,1,0,0
119,54.0,11.0,0,1,3.0,20.0,0,47.6,39.8,1.0,84.117,81.362,2.0,2019,66.0,78.492,0,1,0
189,58.0,8.0,1,1,3.0,30.0,0,56.9,47.2,1.0,82.741,81.779,1.0,2020,66.0,81.379,1,0,0
133,2.0,5.0,0,1,1.0,30.1,0,54.8,48.3,1.0,89.197,84.754,1.0,2020,23.0,84.63,0,1,0
7,8.0,9.0,0,1,1.0,16.3,0,50.9,36.7,1.0,86.554,82.259,1.0,2018,25.0,81.631,0,1,0
174,43.0,20.0,1,1,2.0,30.1,0,55.3,47.9,1.0,84.054,82.532,1.0,2020,50.0,82.129,1,0,0
259,62.0,26.0,0,1,3.0,23.1,0,56.3,35.8,1.0,87.399,78.149,1.0,2021,66.0,81.636,1,0,0
309,46.0,24.0,1,1,3.0,36.8,0,7.0,49.0,5.0,88.512,88.233,6.0,2022,48.0,87.73,1,0,0
81,16.0,19.0,0,1,1.0,20.3,0,55.9,41.0,1.0,85.156,82.019,2.0,2019,27.0,81.913,0,1,0
182,51.0,1.0,1,1,3.0,28.8,0,59.6,42.8,1.0,82.384,82.406,1.0,2020,66.0,100.359,1,0,1
203,6.0,10.0,0,1,1.0,21.8,0,58.4,31.0,2.0,83.227,84.195,1.0,2021,28.0,83.062,0,1,0
144,13.0,16.0,0,1,1.0,30.5,0,54.6,48.5,1.0,86.067,83.473,1.0,2020,23.0,82.767,0,1,0
175,44.0,21.0,1,1,2.0,30.1,0,55.6,48.2,1.0,85.052,82.526,1.0,2020,50.0,82.141,1,0,0
9,10.0,11.0,0,1,1.0,16.2,1,51.0,35.1,1.0,85.523,82.536,1.0,2018,25.0,81.79,0,1,0
154,23.0,26.0,0,1,1.0,30.0,0,55.7,48.1,1.0,83.614,88.017,1.0,2020,23.0,87.175,0,1,0
294,31.0,9.0,1,1,3.0,37.1,0,6.0,49.5,10.0,93.694,94.152,6.0,2022,48.0,87.364,1,0,0
290,27.0,5.0,1,1,3.0,37.0,0,6.0,49.4,16.0,90.684,105.403,6.0,2022,48.0,87.244,1,0,0
48,49.0,24.0,1,1,2.0,16.8,1,49.7,31.9,1.0,84.499,79.828,1.0,2018,66.0,79.983,1,0,0
5,6.0,7.0,0,4,1.0,16.7,0,51.5,36.6,1.0,119.521,133.232,1.0,2018,25.0,133.88,0,1,0
147,16.0,19.0,0,1,1.0,29.9,0,56.3,48.5,1.0,85.082,83.568,1.0,2020,23.0,83.216,0,1,0
289,26.0,4.0,1,1,3.0,37.0,0,7.0,49.4,17.0,89.347,94.403,6.0,2022,48.0,87.156,1,0,0
232,35.0,7.0,1,1,2.0,22.8,0,56.7,33.6,2.0,81.571,81.407,1.0,2021,42.0,81.468,1,0,0
86,21.0,24.0,0,1,1.0,20.8,0,55.2,41.2,1.0,87.854,83.041,2.0,2019,27.0,82.386,0,1,0
59,60.0,35.0,1,1,2.0,16.7,0,50.4,32.4,1.0,84.438,80.006,1.0,2018,66.0,81.819,1,0,0
240,43.0,7.0,0,1,3.0,22.4,0,59.2,32.5,3.0,82.683,82.735,1.0,2021,66.0,99.613,1,0,0
172,41.0,18.0,1,1,2.0,29.5,0,58.0,44.8,1.0,84.459,83.334,1.0,2020,50.0,82.438,1,0,0
47,48.0,23.0,1,1,2.0,16.8,1,49.9,32.3,1.0,83.004,81.942,1.0,2018,66.0,80.2,1,0,0
19,20.0,21.0,0,1,1.0,15.8,1,53.8,30.8,1.0,84.331,81.993,1.0,2018,25.0,81.334,0,1,0
191,60.0,10.0,1,1,3.0,30.1,0,57.2,47.8,1.0,82.003,82.184,1.0,2020,66.0,81.223,1,0,0
108,43.0,16.0,1,1,2.0,20.1,0,52.9,39.6,1.0,85.006,82.461,2.0,2019,46.0,81.891,1,0,0
62,63.0,38.0,1,1,2.0,17.1,0,49.6,31.6,1.0,83.323,80.058,1.0,2018,66.0,79.822,1,0,0
26,27.0,2.0,1,1,2.0,15.8,1,53.7,29.3,2.0,81.037,82.008,1.0,2018,66.0,80.131,1,0,0
228,31.0,3.0,1,1,2.0,22.9,0,55.8,34.6,2.0,82.714,82.391,1.0,2021,42.0,81.204,1,0,0
217,20.0,24.0,0,1,1.0,22.4,0,57.1,32.2,2.0,83.362,83.963,1.0,2021,28.0,83.559,0,1,0
114,49.0,6.0,0,4,3.0,19.7,0,52.0,39.4,1.0,85.729,132.766,2.0,2019,66.0,134.091,0,1,0
97,32.0,5.0,1,1,2.0,20.8,0,52.5,40.6,1.0,110.949,82.118,2.0,2019,46.0,82.286,1,0,0
129,64.0,21.0,0,1,3.0,20.4,0,50.8,39.1,1.0,83.372,79.912,2.0,2019,66.0,79.771,0,1,0
